id,idx,category_id
905a3c8c-21bc-11ea-a13a-137349068a90,1,374
905a4416-21bc-11ea-a13a-137349068a90,1,97
905a4416-21bc-11ea-a13a-137349068a90,2,97
905a4416-21bc-11ea-a13a-137349068a90,3,97
905a579e-21bc-11ea-a13a-137349068a90,1,90
905a636a-21bc-11ea-a13a-137349068a90,1,375
905a71e8-21bc-11ea-a13a-137349068a90,1,2
905a71e8-21bc-11ea-a13a-137349068a90,2,2
905a71e8-21bc-11ea-a13a-137349068a90,3,2
905a71e8-21bc-11ea-a13a-137349068a90,4,2
905a71e8-21bc-11ea-a13a-137349068a90,5,2
905a71e8-21bc-11ea-a13a-137349068a90,6,2
905a71e8-21bc-11ea-a13a-137349068a90,7,2
905a71e8-21bc-11ea-a13a-137349068a90,8,2
905a78a0-21bc-11ea-a13a-137349068a90,1,3
905a7be8-21bc-11ea-a13a-137349068a90,1,317
905a7efe-21bc-11ea-a13a-137349068a90,1,96
905a7efe-21bc-11ea-a13a-137349068a90,2,96
905a821e-21bc-11ea-a13a-137349068a90,1,371
905a9074-21bc-11ea-a13a-137349068a90,1,71
905a9074-21bc-11ea-a13a-137349068a90,2,71
905a93ee-21bc-11ea-a13a-137349068a90,1,384
905a984e-21bc-11ea-a13a-137349068a90,1,78
905a984e-21bc-11ea-a13a-137349068a90,2,78
905aac30-21bc-11ea-a13a-137349068a90,1,372
905aae4c-21bc-11ea-a13a-137349068a90,1,372
905ab054-21bc-11ea-a13a-137349068a90,1,374
905ab892-21bc-11ea-a13a-137349068a90,1,115
905aba9a-21bc-11ea-a13a-137349068a90,1,8
905abfc2-21bc-11ea-a13a-137349068a90,1,110
905ac634-21bc-11ea-a13a-137349068a90,1,372
905acc56-21bc-11ea-a13a-137349068a90,1,2
905aced6-21bc-11ea-a13a-137349068a90,1,371
905add22-21bc-11ea-a13a-137349068a90,1,112
905b1760-21bc-11ea-a13a-137349068a90,1,374
905b1760-21bc-11ea-a13a-137349068a90,2,374
905b1fb2-21bc-11ea-a13a-137349068a90,1,377
905b2f0c-21bc-11ea-a13a-137349068a90,1,374
905b4cd0-21bc-11ea-a13a-137349068a90,1,372
905b4cd0-21bc-11ea-a13a-137349068a90,2,372
905b61d4-21bc-11ea-a13a-137349068a90,1,374
905b68aa-21bc-11ea-a13a-137349068a90,1,24
905b6eb8-21bc-11ea-a13a-137349068a90,1,96
905b6eb8-21bc-11ea-a13a-137349068a90,2,96
905b7ca0-21bc-11ea-a13a-137349068a90,1,371
905b840c-21bc-11ea-a13a-137349068a90,1,96
905b840c-21bc-11ea-a13a-137349068a90,2,96
905b9532-21bc-11ea-a13a-137349068a90,1,371
905b9d34-21bc-11ea-a13a-137349068a90,1,372
905b9d34-21bc-11ea-a13a-137349068a90,2,372
905ba4dc-21bc-11ea-a13a-137349068a90,1,384
905bb7f6-21bc-11ea-a13a-137349068a90,1,96
905bb7f6-21bc-11ea-a13a-137349068a90,2,96
905bb7f6-21bc-11ea-a13a-137349068a90,3,96
905bbff8-21bc-11ea-a13a-137349068a90,1,374
905bc430-21bc-11ea-a13a-137349068a90,1,374
905bc7e6-21bc-11ea-a13a-137349068a90,1,3
905bcf48-21bc-11ea-a13a-137349068a90,1,243
905bd33a-21bc-11ea-a13a-137349068a90,1,2
905bd722-21bc-11ea-a13a-137349068a90,1,3
905be08c-21bc-11ea-a13a-137349068a90,1,96
905be08c-21bc-11ea-a13a-137349068a90,2,96
905be08c-21bc-11ea-a13a-137349068a90,3,96
905be4e2-21bc-11ea-a13a-137349068a90,1,242
905be88e-21bc-11ea-a13a-137349068a90,1,316
905bfffe-21bc-11ea-a13a-137349068a90,1,96
905bfffe-21bc-11ea-a13a-137349068a90,2,96
905bfffe-21bc-11ea-a13a-137349068a90,3,96
905c1552-21bc-11ea-a13a-137349068a90,1,0
905c45a4-21bc-11ea-a13a-137349068a90,1,8
905c4ce8-21bc-11ea-a13a-137349068a90,1,91
905c61c4-21bc-11ea-a13a-137349068a90,1,374
905c61c4-21bc-11ea-a13a-137349068a90,2,374
905c6c50-21bc-11ea-a13a-137349068a90,1,321
905c82ee-21bc-11ea-a13a-137349068a90,1,374
905c897e-21bc-11ea-a13a-137349068a90,1,371
905c9a72-21bc-11ea-a13a-137349068a90,1,6
905c9e00-21bc-11ea-a13a-137349068a90,1,2
905c9e00-21bc-11ea-a13a-137349068a90,2,2
905cc506-21bc-11ea-a13a-137349068a90,1,317
905cd794-21bc-11ea-a13a-137349068a90,1,372
905ce270-21bc-11ea-a13a-137349068a90,1,3
905ce270-21bc-11ea-a13a-137349068a90,2,3
905cf422-21bc-11ea-a13a-137349068a90,1,372
905cf422-21bc-11ea-a13a-137349068a90,2,372
905cfb52-21bc-11ea-a13a-137349068a90,1,372
905cfeb8-21bc-11ea-a13a-137349068a90,1,96
905cfeb8-21bc-11ea-a13a-137349068a90,2,96
905d0278-21bc-11ea-a13a-137349068a90,1,240
905d09b2-21bc-11ea-a13a-137349068a90,1,26
905d26ae-21bc-11ea-a13a-137349068a90,1,0
905d5642-21bc-11ea-a13a-137349068a90,1,384
905d6290-21bc-11ea-a13a-137349068a90,1,374
905d6dda-21bc-11ea-a13a-137349068a90,1,374
905d71a4-21bc-11ea-a13a-137349068a90,1,110
905d7514-21bc-11ea-a13a-137349068a90,1,97
905d7910-21bc-11ea-a13a-137349068a90,1,384
905d7d20-21bc-11ea-a13a-137349068a90,1,375
905d901c-21bc-11ea-a13a-137349068a90,1,317
905d9404-21bc-11ea-a13a-137349068a90,1,375
